record_id,age_years,income_value,tenure_months,monthly_spend,purchase_rate,order_value,promo_usage_rate,return_rate,browse_minutes,support_contacts,payment_channel,market_area
R30564,18,22924.01,1,214.0,5.21,60.84,0.15,0.12,60.52,3,Channel_C,Area_A
R39502,34,41.55,1,181.96,0.09,386.26,0.6,0.13,35.93,3,Channel_B,Area_B
R11044,46,192254.4,72,398.76,9.79,5.44,0.53,0.01,59.94,,Channel_A,Area_A
R33133,67,104126.95,72,1216.68,18.61,17.01,0.0,0.11,46.38,0,Channel_B,Area_C
R12043,43,116509.95,72,909.87,19.41,0.21,0.0,0.02,98.01,1,Channel_A,Area_A
R15242,50,140522.42,72,1075.14,20.04,0.0,0.07,0.06,85.48,1,Channel_C,Area_A
R00119,66,74.07,1,,,191.29,0.39,0.16,223.61,2,Channel_A,Area_A
R09212,30,0.0,1,0.0,0.0,62.95,0.27,0.29,0.1,1,Channel_C,Area_A
R21426,61,62334.13,60,97.92,1.11,83.25,0.65,0.09,187.56,5,Channel_A,Area_C
R11659,47,57839.82,69,369.4,12.89,0.0,0.05,0.03,46.66,0,Channel_A,Area_A
R30337,43,256.41,1,4.59,0.0,293.11,0.46,0.16,11.78,5,Channel_C,Area_A
R34055,53,413.23,1,174.7,0.0,182.65,0.23,0.25,26.32,3,Channel_C,Area_A
R15778,19,73231.93,72,522.49,10.91,20.38,0.09,0.04,82.41,1,Channel_A,Area_A
R39288,20,23946.43,33,183.66,0.0,112.5,0.19,0.03,162.83,,Channel_A,Area_B
R09046,31,168887.23,72,1193.98,17.5,18.03,0.13,0.09,50.3,0,Channel_A,Area_A
R02271,59,0.0,1,0.28,0.0,167.01,0.39,0.1,0.02,1,Channel_A,Area_C
R35753,54,596.61,1,0.0,0.0,112.39,0.35,0.21,67.84,2,Channel_A,Area_A
R12389,36,52.67,1,0.0,0.02,263.66,0.53,0.22,0.0,1,Channel_A,Area_C
R03744,18,544.34,1,0.0,,169.52,0.51,0.05,65.66,2,Channel_A,Area_C
R40374,63,487.76,1,0.0,0.08,169.02,0.49,0.19,0.73,1,Channel_A,Area_A
R09271,47,,72,1226.63,17.24,25.7,0.06,0.24,173.35,0,Channel_A,Area_A
R13184,43,38044.17,1,101.83,10.23,31.07,0.37,0.07,41.69,2,Channel_A,Area_B
R39595,38,52105.51,13,178.11,1.47,73.89,0.31,0.27,222.66,2,Channel_A,Area_B
R03091,22,,72,540.37,16.63,0.14,0.02,0.25,267.2,1,Channel_B,Area_B
R02333,30,0.0,29,30.59,1.35,49.55,0.21,0.04,80.49,1,Channel_C,Area_B
R33836,55,104633.6,72,543.13,14.07,6.5,0.24,0.23,93.84,,Channel_C,Area_A
R19038,50,285.34,1,0.0,0.01,152.65,0.52,0.29,13.86,3,Channel_C,Area_B
R05613,36,45193.58,1,0.0,0.0,144.06,0.36,,15.16,0,Channel_A,Area_C
R15495,33,68764.27,72,532.3,12.16,22.07,0.12,0.03,17.03,,Channel_A,Area_A
R35430,36,44.39,1,5.28,0.06,278.12,0.51,0.08,32.78,3,Channel_A,Area_B
R36880,42,2708.77,1,293.84,0.13,155.3,0.24,0.13,47.09,1,Channel_A,Area_A
R29775,26,1166.51,1,2.35,0.0,64.47,0.56,0.16,57.23,2,Channel_A,Area_C
R40214,56,112623.79,72,1170.89,17.95,3.71,,0.24,92.2,1,Channel_B,Area_A
R27623,51,155.93,1,,0.0,109.65,0.91,0.1,59.58,0,Channel_C,Area_C
R28819,46,135.25,1,0.0,0.09,179.88,0.59,0.11,18.19,2,Channel_A,Area_C
R17616,45,113677.33,72,324.22,15.55,2.14,0.08,0.1,129.22,2,Channel_C,Area_B
R31221,39,47014.02,20,519.14,3.57,111.43,0.11,0.43,150.49,1,Channel_C,Area_A
R48993,18,656.13,1,3.25,0.0,153.48,0.68,0.16,1.94,4,Channel_A,Area_B
R34624,63,,1,580.39,4.2,115.02,0.27,0.29,80.75,0,Channel_A,Area_B
R02884,42,0.0,1,0.0,0.0,142.41,0.59,0.08,28.75,2,Channel_A,Area_A
R31924,58,109061.02,72,532.89,9.55,2.43,0.22,0.04,43.73,,Channel_B,Area_B
R13719,47,0.0,1,514.58,2.81,137.63,0.21,0.09,64.78,3,Channel_A,Area_B
R16480,19,297.62,1,2.98,0.02,82.53,0.29,0.32,92.01,3,Channel_A,Area_B
R24779,21,15345.61,1,15.26,8.92,27.59,0.29,0.25,52.9,1,Channel_C,Area_A
R39637,53,94171.31,61,977.35,13.48,53.94,,0.07,46.94,1,Channel_C,Area_A
R04228,60,159966.04,72,,16.45,117.07,0.13,0.09,36.2,1,Channel_A,Area_A
R13782,28,28326.36,1,145.97,2.3,49.16,0.55,0.21,93.63,3,Channel_A,Area_A
R36759,65,0.0,1,2.06,0.18,211.66,0.34,0.26,32.8,2,Channel_C,Area_B
R27183,33,54420.15,72,342.3,12.8,1.99,0.12,0.27,50.07,0,Channel_A,Area_A
R14471,45,0.0,1,0.0,0.0,73.29,0.45,0.09,11.74,2,Channel_A,Area_B
R36682,31,64621.4,72,404.05,17.26,0.0,0.0,0.28,43.63,4,Channel_A,Area_B
R24103,34,63889.88,72,499.58,10.63,16.15,,0.34,39.04,4,Channel_A,Area_A
R12431,47,80669.34,72,,9.52,0.0,0.01,0.09,73.48,1,Channel_B,Area_B
R45563,68,48717.94,72,539.97,9.81,11.68,0.52,0.0,100.94,,Channel_A,Area_A
R47918,38,146062.49,72,1021.68,31.8,0.0,0.0,0.0,69.78,4,Channel_A,Area_A
R02213,44,101610.59,72,1657.66,15.18,141.8,0.0,0.01,114.92,2,Channel_A,Area_A
R16662,26,0.0,1,99.49,0.0,198.0,0.37,0.06,63.91,2,Channel_A,Area_B
R28582,58,302.43,1,0.0,0.03,313.2,,0.09,,2,Channel_B,Area_B
R20256,33,53256.46,72,385.84,14.91,0.49,0.08,0.27,44.27,2,Channel_C,Area_A
R31750,42,80.82,1,2.95,0.01,135.35,0.6,0.15,0.61,1,Channel_A,Area_B
R32070,22,50319.01,72,451.59,9.68,15.8,,0.1,76.17,2,Channel_A,Area_C
R46200,50,9715.63,1,,0.77,45.38,0.27,0.32,37.97,1,Channel_B,Area_A
R49143,68,0.0,1,49.64,0.07,125.16,0.54,0.14,,2,Channel_C,Area_A
R41082,70,676.69,1,0.48,0.0,100.73,0.49,0.61,13.03,4,Channel_A,Area_A
R14502,49,0.0,1,7.31,0.0,50.97,0.47,,0.0,3,Channel_C,Area_C
R00905,63,55028.45,72,298.84,9.99,0.0,0.0,0.12,41.24,,Channel_C,Area_B
R40014,61,0.0,1,6.58,0.0,163.6,0.2,0.09,100.16,,Channel_C,Area_B
R06789,64,1506.0,1,4.15,,238.52,0.52,0.1,36.44,0,Channel_A,Area_C
R12738,20,102552.8,72,1080.22,21.56,0.45,0.26,0.0,60.53,3,Channel_B,Area_A
R08971,61,49311.78,72,339.02,12.39,0.0,0.12,0.13,69.42,2,Channel_A,Area_A
R39127,56,56907.8,1,382.92,1.31,152.25,0.47,0.1,86.55,1,Channel_A,Area_A
R02826,21,41069.5,29,4.58,0.93,46.73,0.16,0.12,37.81,0,Channel_C,Area_A
R12850,33,0.0,1,2.11,0.04,175.33,0.46,0.21,52.04,,Channel_B,Area_C
R04557,26,45320.83,19,87.5,0.18,124.58,0.2,0.11,29.14,1,Channel_A,Area_B
R00107,30,0.0,1,1.21,7.08,33.24,0.17,0.06,24.9,2,Channel_B,Area_A
R25117,28,44644.8,1,0.0,0.14,122.7,,0.1,13.52,1,Channel_A,Area_A
R26819,65,62303.1,32,359.94,1.9,117.51,0.41,0.28,,3,Channel_A,Area_A
R01339,69,0.0,1,0.62,,73.62,0.95,0.23,124.85,1,Channel_A,Area_C
R42699,57,141911.19,72,1118.88,,41.27,,0.17,109.22,2,Channel_A,Area_A
R23340,35,127155.54,72,1238.68,27.24,0.0,0.14,0.24,87.6,1,Channel_A,Area_A
R36307,18,45392.95,46,443.48,0.55,188.13,0.62,0.28,44.38,0,Channel_B,Area_A
R18860,18,,25,0.0,2.66,28.77,0.61,0.07,36.85,1,Channel_A,Area_B
R45779,60,0.0,1,,,125.75,0.43,0.07,,3,Channel_B,Area_B
R04683,52,0.0,12,286.42,,86.43,0.36,0.16,53.56,2,Channel_A,Area_C
R18045,25,0.0,1,614.85,0.0,221.79,0.66,0.17,60.73,3,Channel_C,Area_A
R10043,33,142871.35,72,1182.12,19.11,8.27,0.32,0.12,,0,Channel_A,Area_B
R16499,59,56500.38,71,348.79,13.93,0.0,0.22,0.22,97.93,4,Channel_B,Area_B
R13715,46,0.0,1,,0.0,99.87,0.44,0.18,74.34,2,Channel_C,Area_A
R07525,57,0.0,1,2.67,0.0,325.1,0.56,0.11,40.94,0,Channel_B,Area_C
R41692,20,43834.11,72,293.2,9.92,0.0,0.07,0.18,67.82,3,Channel_C,Area_B
R32877,64,29829.94,16,349.04,6.98,43.14,0.4,0.05,86.0,,Channel_A,Area_A
R48470,69,0.0,1,3.08,0.02,76.08,0.51,0.02,11.15,2,Channel_B,Area_A
R32282,69,621.96,1,3.74,0.0,80.98,0.35,0.11,44.17,0,Channel_B,Area_C
R41641,60,16250.87,30,230.21,0.6,101.89,0.29,0.19,78.12,2,Channel_A,Area_A
R17257,43,1002.2,1,0.0,0.0,72.93,0.55,0.11,,4,Channel_A,Area_B
R08269,36,,72,470.42,,3.32,0.14,0.01,75.6,0,Channel_A,Area_B
R11291,45,979.89,1,1.63,0.0,233.21,0.41,0.23,19.34,2,Channel_C,Area_A
R32827,37,397.6,57,0.61,1.17,40.16,0.36,0.14,33.3,4,Channel_A,Area_A
R12158,51,14144.13,1,,9.06,60.97,0.16,0.08,42.6,4,Channel_B,Area_A
R12619,44,0.0,1,2.74,0.0,194.3,0.43,,73.27,2,Channel_A,Area_B
R03498,32,4753.08,35,159.37,0.06,108.82,0.54,0.09,48.13,2,Channel_C,Area_A
R42186,59,68550.02,72,654.91,10.45,22.54,0.19,0.09,32.1,1,Channel_B,Area_B
R11868,44,102625.6,72,588.65,9.43,17.87,0.15,0.24,,3,Channel_A,Area_A
R34387,36,85613.76,53,773.77,9.02,81.33,0.21,0.21,36.16,3,Channel_C,Area_B
R00933,69,0.0,1,,0.07,247.79,0.49,0.2,42.79,1,Channel_A,Area_A
R34961,69,237806.29,72,825.21,24.52,1.12,0.07,0.22,76.06,5,Channel_B,Area_A
R03263,18,,24,278.52,3.75,75.24,0.25,0.04,61.19,5,Channel_A,Area_B
R35313,61,58898.72,72,608.72,10.84,34.89,0.27,,26.2,2,Channel_B,Area_A
R04759,58,0.0,1,0.0,0.11,92.83,0.43,0.22,106.09,2,Channel_B,Area_C
R22410,55,0.0,1,0.07,0.0,105.74,0.24,0.5,,2,Channel_A,Area_B
R46122,68,86552.64,59,436.4,9.34,1.26,,0.0,103.32,0,Channel_A,Area_A
R44772,59,78901.84,72,472.93,12.84,0.39,0.0,0.1,186.01,,Channel_A,Area_B
R10197,53,,1,0.0,,215.26,0.67,,8.95,1,Channel_C,Area_B
R24764,43,106360.51,72,301.33,17.14,0.0,0.22,0.22,26.39,1,Channel_C,Area_A
R24561,19,0.0,1,4.18,0.0,356.31,0.37,0.31,60.34,1,Channel_B,Area_C
R35975,62,15550.91,60,81.71,0.0,113.77,0.39,0.12,113.05,2,Channel_C,Area_A
R14568,57,81321.53,72,593.77,11.08,21.13,0.12,0.15,79.21,1,Channel_B,Area_A
R03841,52,107664.25,72,1195.12,,0.0,0.0,0.02,56.03,1,Channel_A,Area_B
R44959,36,0.0,1,0.0,,142.06,0.41,0.27,67.02,1,Channel_C,Area_C
R48928,29,55394.91,72,293.98,13.26,0.0,0.47,0.05,24.58,0,Channel_A,Area_B
R35323,46,65526.05,72,498.76,9.16,22.47,0.4,0.18,93.51,3,Channel_C,Area_A
R14458,39,72583.36,1,11.7,1.82,42.0,0.22,0.03,59.05,0,Channel_A,Area_B
R39797,67,0.0,1,282.6,0.03,357.24,0.47,0.36,,0,Channel_B,Area_A
R31196,58,193343.84,72,1154.6,22.75,0.0,0.0,0.14,70.91,0,Channel_C,Area_C
R31194,61,749.2,1,0.0,0.13,187.09,0.84,0.09,0.0,3,Channel_B,Area_B
R21460,62,0.0,1,0.0,0.0,101.09,0.38,0.23,0.63,1,Channel_C,Area_A
R42173,59,134172.74,72,1788.6,15.9,139.75,0.0,0.2,135.43,1,Channel_A,Area_B
R39475,34,55118.35,72,558.66,10.75,9.68,0.18,,,0,Channel_A,Area_A
R26588,55,105481.35,72,,13.29,10.61,0.51,0.07,110.48,3,Channel_C,Area_B
R15700,59,28562.8,34,71.32,1.24,62.1,0.44,,19.1,1,Channel_B,Area_B
R43799,32,14654.54,1,0.36,0.14,70.14,0.48,0.19,24.54,1,Channel_A,Area_C
R32652,63,0.0,1,0.97,0.0,72.23,0.57,0.33,0.0,2,Channel_A,Area_A
R43877,55,12861.31,1,51.35,1.06,68.8,0.49,,72.01,3,Channel_A,Area_C
R49503,61,57506.37,1,0.0,0.09,135.04,0.82,0.3,16.19,2,Channel_A,Area_C
R49989,43,126127.42,72,1100.15,28.63,0.0,0.06,0.01,61.55,0,Channel_A,Area_A
R22559,37,40267.72,42,60.99,0.11,69.71,0.26,0.16,50.26,4,Channel_A,Area_A
R23132,70,146986.86,72,873.04,16.37,1.08,0.21,0.07,,0,Channel_B,Area_B
R31395,23,0.0,1,0.0,0.0,289.35,0.46,,48.27,2,Channel_C,Area_A
R36568,38,118949.02,72,1350.58,18.55,46.39,0.19,0.1,154.25,1,Channel_C,Area_B
R12875,51,4770.46,1,0.0,0.0,247.32,0.59,,54.74,1,Channel_C,Area_C
R45514,67,15732.59,1,2.12,0.0,148.71,0.29,0.17,107.38,1,Channel_A,Area_B
R41730,41,921.68,1,6.65,0.07,115.67,0.7,0.1,0.29,1,Channel_C,Area_A
R01370,23,769.38,1,488.55,0.05,170.22,0.36,0.12,4.35,2,Channel_A,Area_A
R09792,42,0.0,1,0.03,0.0,58.69,0.26,0.09,0.58,3,Channel_A,Area_C
R46723,31,104989.31,72,1187.48,17.23,17.35,0.24,0.06,94.76,0,Channel_B,Area_B
R05027,47,75999.04,4,185.83,10.26,37.57,0.12,0.23,24.39,1,Channel_C,Area_B
R19953,61,0.0,1,1.73,0.0,180.47,0.23,0.14,18.43,1,Channel_A,Area_B
R12577,36,79632.05,72,515.75,12.13,16.46,0.1,0.08,53.45,3,Channel_A,Area_B
R39488,20,10841.06,1,0.0,0.26,100.58,0.38,0.43,60.99,3,Channel_A,Area_A
R15611,60,574.54,38,5.59,0.0,42.98,,0.07,61.63,0,Channel_C,Area_B
R39045,23,,1,0.0,0.0,170.68,0.35,0.18,54.88,1,Channel_C,Area_A
R16988,42,646.22,1,,0.0,201.5,0.3,0.41,21.48,2,Channel_B,Area_B
R41599,39,14223.22,1,9.9,3.27,45.62,0.36,0.28,51.68,0,Channel_A,Area_A
R18767,70,0.0,1,0.61,0.0,71.56,0.3,0.29,69.27,1,Channel_C,Area_B
R08286,54,97884.85,72,2397.33,17.72,159.87,,0.0,122.39,1,Channel_C,Area_A
R12701,36,92632.03,57,446.67,14.75,0.0,0.36,0.09,63.85,3,Channel_A,Area_A
R44216,50,34515.55,11,0.0,6.37,27.76,0.42,0.12,76.46,1,Channel_B,Area_B
R20899,28,63406.89,1,34.35,2.09,35.86,0.15,0.24,23.22,0,Channel_A,Area_A
R43046,29,47137.91,72,735.41,14.17,25.29,0.0,,18.47,1,Channel_C,Area_A
R36659,29,0.0,1,0.0,0.19,149.89,0.67,0.17,,3,Channel_C,Area_B
R02288,20,14178.6,10,276.0,3.63,72.8,0.31,0.22,91.36,,Channel_A,Area_A
R12477,42,16627.89,1,0.0,1.1,73.7,0.5,0.08,11.83,2,Channel_A,Area_A
R00691,32,,1,48.52,7.64,29.3,0.31,0.19,18.44,1,Channel_C,Area_B
R07228,60,654.46,1,0.0,0.2,189.94,0.26,0.15,102.44,5,Channel_B,Area_B
R38599,63,,1,654.02,0.1,736.45,0.49,0.04,0.37,1,Channel_A,Area_A
R44523,42,0.0,1,,,93.69,0.62,,10.01,1,Channel_C,Area_C
R29658,56,0.0,1,3.36,0.0,124.45,0.45,,2.05,4,Channel_C,Area_B
R06219,35,114245.03,72,904.17,21.31,0.62,0.26,0.07,149.61,2,Channel_A,Area_C
R12381,44,0.0,1,263.33,0.13,415.35,0.49,0.06,6.6,,Channel_B,Area_A
R08130,58,3003.73,12,208.27,3.47,59.96,0.2,,90.19,,Channel_A,Area_A
R42087,61,513.98,1,148.91,0.0,247.07,0.56,0.09,19.83,4,Channel_A,Area_B
R16970,48,0.0,1,0.0,0.0,90.92,0.47,0.11,59.84,4,Channel_A,Area_A
R40596,43,0.0,1,9.18,0.01,174.16,0.19,0.06,3.24,2,Channel_B,Area_B
R05651,20,8793.13,1,,4.37,47.82,0.56,0.12,59.69,2,Channel_B,Area_C
R36655,54,83273.39,72,381.94,11.25,0.0,0.04,0.07,89.15,3,Channel_B,Area_B
R48000,51,88080.69,72,1217.09,15.77,39.42,0.25,0.0,31.18,1,Channel_A,Area_A
R42939,23,0.0,1,4.25,0.0,109.45,0.57,0.18,31.95,2,Channel_B,Area_A
R36238,36,109.78,1,1.18,0.0,134.0,0.94,0.29,10.55,1,Channel_A,Area_B
R41716,61,0.0,14,46.96,,56.26,0.61,0.1,126.34,0,Channel_A,Area_A
R48433,36,138362.44,72,905.0,25.49,1.19,,0.11,99.91,2,Channel_C,Area_A
